Time,Num c bots
19273.89419919043,1
19273.89419919043,2
19273.89419920192,3
19273.89419920192,4
19273.89437898192,5
19273.8943938845,6
19273.894405003437,5
19273.894440716005,4
19273.89450623043,3
19273.894588076724,2
19273.894621267755,1
19273.894681494814,0
Time,Num h bots
19273.894199121216,1
19273.89419913064,2
19273.89419913064,3
19273.894199141803,4
19273.894199141803,5
19273.894199152637,6
19273.894199164042,7
19273.894199164042,8
19273.894199175207,9
19273.894199186307,10
19273.894219199978,9
19273.894245055693,10
19273.8942774448,9
19273.894280266344,8
19273.894298007453,7
19273.894311773205,6
19273.89433900749,5
19273.894379900186,4
19273.894394608345,3
19273.89443983649,2
19273.894463297765,1
19273.894583909503,0
Time,Num food
19273.894199226434,1
19273.894200149825,2
19273.89420241588,3
19273.894204453678,4
19273.894209048056,5
19273.894212282314,6
19273.89421801119,7
19273.894221437185,8
19273.8942218947,9
19273.894222810162,10
19273.894223487674,11
19273.89422602551,12
19273.89422647376,13
19273.89422993383,14
19273.8942303741,15
19273.894231511993,16
19273.894231539605,15
19273.894231972605,16
19273.89423199492,15
19273.89423655208,16
19273.89423793596,17
19273.894237992245,16
19273.894238392095,17
19273.89424067006,18
19273.89424163022,17
19273.89424481448,16
19273.89424636867,17
19273.894247065604,18
19273.89424711215,17
19273.894247755357,18
19273.894248661978,19
19273.89424889596,20
19273.894250458517,21
19273.894250727015,20
19273.894251607973,21
19273.894253221853,20
19273.894254092236,21
19273.894254780997,22
19273.89425522031,23
19273.894259188157,22
19273.894262132464,23
19273.894263731992,24
19273.89426396374,25
19273.894265538853,26
19273.89426557133,25
19273.894266006737,26
19273.894269072232,25
19273.894269703647,26
19273.894270635556,27
19273.894271773057,28
19273.894272001147,29
19273.894272046204,28
19273.894272903297,29
19273.894272925612,28
19273.894275632396,27
19273.89427860883,28
19273.894279539396,29
19273.894280460012,30
19273.894282064884,31
19273.894287536263,32
19273.894290910324,33
19273.894293930392,32
19273.894294588335,33
19273.894297768933,32
19273.894301684213,33
19273.89430305941,34
19273.894304243484,33
19273.894307375962,32
19273.89430829987,31
19273.894309644445,32
19273.89431605654,33
19273.894320376086,34
19273.89432107714,35
19273.894322899214,36
19273.894323611436,35
19273.894324520497,36
19273.894325857873,37
19273.894326565718,36
19273.89433043126,37
19273.894332042953,38
19273.894335256307,39
19273.894341011088,40
19273.894342855914,41
19273.89434330705,42
19273.894345561675,43
19273.894349654096,44
19273.894351261573,45
19273.894351733114,44
19273.89435355904,43
19273.89435672699,44
19273.89435695183,45
19273.894357173554,46
19273.894357397512,47
19273.894363446503,46
19273.894364533913,47
19273.894365469423,46
19273.8943741664,47
19273.894375082953,48
19273.894376681885,49
19273.894378074376,50
19273.89437833362,49
19273.89438033052,50
19273.89438311058,51
19273.894385835545,52
19273.894387664004,53
19273.894391109017,54
19273.89439296934,53
19273.89439318346,54
19273.894395278658,55
19273.894399434063,56
19273.89440036126,57
19273.894411834524,58
19273.894413695256,57
19273.894414361122,58
19273.894417810126,59
19273.894419404725,60
19273.894422616955,61
19273.89442537785,62
19273.894426057293,63
19273.894428797223,64
19273.894429949432,65
19273.89443315456,66
19273.894433847618,67
19273.894436358554,68
19273.89443705338,69
19273.894437944455,70
19273.89443954756,71
19273.89444048258,72
19273.894441169457,73
19273.89444279704,74
19273.894446960334,75
19273.894449252046,76
19273.89445201022,77
19273.894453165973,78
19273.894456564736,79
19273.894458894527,80
19273.894460047522,81
19273.8944620814,82
19273.894474754306,83
19273.89447566808,84
19273.894478441413,85
19273.89447866535,86
19273.8944791236,87
19273.89447936134,86
19273.894486221783,87
19273.89448760351,88
19273.89449125264,89
19273.894492181065,90
19273.894496322813,91
19273.894499089234,92
19273.894503471238,91
19273.894504607037,92
19273.894504840937,93
19273.894506208057,94
19273.894507829365,95
19273.894508526715,96
19273.89451169529,97
19273.894512844283,98
19273.894516751712,99
19273.89452364514,100
19273.894542886886,99
19273.894549979617,100
19273.89455959066,99
19273.894562585683,100
19273.894564890903,99
19273.8945678581,100
Time,Num poison
19273.89420584323,1
19273.89420951051,2
19273.894239999896,3
19273.89424568867,4
19273.894248661978,5
19273.894283428555,6
19273.894286864386,7
19273.89431010737,8
19273.89431674802,9
19273.8943183681,8
19273.89435469109,9
19273.894358800324,8
19273.894363146574,9
19273.89439459721,8
19273.894406107986,9
19273.894439825348,8
19273.894440936365,9
19273.894481628497,10
19273.894506219305,11
19273.894550896817,12
19273.894567170268,13
19273.894569678636,14
19273.89457473222,15
19273.89459533038,16
19273.894601784777,17
19273.894614826226,18
19273.894642491192,19
19273.894644797525,20
Time,Avg attr food c
19273.89419919043,0.0191546602
19273.89419920192,0.019193310050000002
19273.89419920192,0.019590971866666668
19273.89419921302,0.01972177395
19273.89437898192,0.0198002552
19273.894393895625,0.019852576033333333
