Time,Num c bots
19273.88323,98
19273.88323,99
19273.88323,100
19273.88323,99
19273.88323,100
19273.88325,99
19273.88325,100
19273.88325,99
19273.88325,100
19273.88326,99
19273.88326,100
19273.88326,99
19273.88326,98
19273.88327,97
19273.88327,98
19273.88328,99
19273.88328,100
19273.88329,99
19273.88329,100
19273.8833,99
19273.88331,98
19273.88331,97
19273.88331,98
19273.88331,99
19273.88331,100
19273.88332,99
19273.88332,100
19273.88332,99
19273.88333,100
19273.88335,99
19273.88336,100
19273.88336,99
19273.88336,98
19273.88337,99
19273.88337,100
19273.88338,99
19273.88339,100
19273.8834,99
19273.8834,100
19273.8834,99
19273.88341,100
19273.88342,99
19273.88342,100
19273.88345,99
19273.88345,100
19273.88345,99
19273.88346,100
19273.88347,99
19273.88348,100
19273.88351,99
19273.88351,100
19273.88352,99
19273.88353,100
19273.88353,99
19273.88353,100
19273.88354,99
19273.88354,100
19273.88355,99
19273.88355,100
19273.88355,99
19273.88355,100
19273.88356,99
19273.88356,100
19273.88356,99
19273.88356,98
19273.88356,99
19273.88356,100
19273.88357,99
19273.88357,100
19273.88358,99
19273.88358,100
19273.88358,99
19273.88359,100
19273.88359,99
19273.8836,100
19273.8836,99
19273.8836,100
19273.88363,99
19273.88363,100
19273.88365,99
19273.88365,100
19273.88366,99
19273.88366,100
19273.88366,99
19273.88366,100
19273.88367,99
19273.88368,100
19273.88368,99
19273.88369,98
19273.88369,99
19273.88369,100
19273.8837,99
19273.8837,100
19273.88372,99
19273.88373,100
19273.88374,99
19273.88374,100
19273.88375,99
19273.88375,98
19273.88375,99
19273.88375,100
19273.88376,99
19273.88376,100
19273.88378,99
19273.88378,100
19273.88379,99
19273.88379,100
19273.8838,99
19273.8838,100
19273.8838,99
19273.8838,100
19273.8838,99
19273.8838,100
19273.88381,99
19273.88381,100
19273.88382,99
19273.88382,100
19273.88383,99
19273.88384,100
19273.88384,99
19273.88384,100
19273.88385,99
19273.88385,100
19273.88386,99
19273.88387,100
19273.88387,99
19273.88387,98
19273.88387,99
19273.88387,100
19273.88388,99
19273.88388,100
19273.8839,99
19273.8839,98
19273.8839,99
19273.88391,100
19273.88391,99
19273.88391,100
19273.88393,99
19273.88393,100
19273.88393,99
19273.88394,98
19273.88394,99
19273.88394,100
19273.88394,99
19273.88394,100
19273.88394,99
19273.88395,100
19273.88395,99
19273.88396,98
19273.88396,99
19273.88396,100
19273.88397,99
19273.88397,100
19273.88397,99
19273.88397,100
19273.88398,99
19273.88398,100
19273.88398,99
19273.88398,98
19273.88399,99
19273.88399,100
19273.884,99
19273.884,100
19273.88402,99
19273.88402,100
19273.88403,99
19273.88403,100
19273.88404,99
19273.88404,100
19273.88404,99
19273.88404,100
19273.88405,99
19273.88405,100
19273.88406,99
19273.88406,100
19273.88408,99
19273.88408,100
19273.88411,99
19273.88411,98
19273.88411,97
19273.88411,98
19273.88411,99
19273.88411,98
19273.88411,99
19273.88411,100
19273.88412,99
19273.88412,100
19273.88415,99
19273.88415,100
19273.88416,99
19273.88417,100
19273.88418,99
19273.88418,100
19273.88421,99
19273.88421,100
19273.88422,99
19273.88422,100
19273.88423,99
19273.88424,100
19273.88424,99
19273.88424,100
19273.88425,99
19273.88425,100
19273.88429,99
19273.88429,100
19273.88432,99
19273.88432,100
19273.88432,99
19273.88433,100
19273.88434,99
19273.88434,100
19273.88435,99
19273.88436,100
19273.8844,99
19273.8844,100
19273.8844,99
19273.88441,98
19273.88441,99
19273.88441,100
19273.88442,99
19273.88442,100
19273.88442,99
19273.88442,100
19273.88442,99
19273.88443,100
19273.88443,99
19273.88443,100
19273.88444,99
19273.88444,100
19273.88445,99
19273.88445,100
19273.88446,99
19273.88446,100
19273.88447,99
19273.88447,100
19273.88448,99
19273.88449,98
19273.88449,99
19273.88449,100
19273.8845,99
19273.8845,100
19273.8845,99
19273.88451,100
19273.88451,99
19273.88451,100
19273.88454,99
19273.88454,100
19273.88455,99
19273.88456,100
19273.88456,99
19273.88456,100
19273.88457,99
19273.88457,100
19273.88457,99
19273.88457,100
19273.88461,99
19273.88462,98
19273.88462,99
19273.88462,100
19273.88463,99
19273.88463,98
19273.88463,97
19273.88463,98
19273.88463,99
19273.88463,100
19273.88464,99
19273.88464,100
19273.88465,99
19273.88465,98
19273.88466,99
19273.88466,100
19273.88466,99
19273.88466,98
19273.88466,99
19273.88466,100
19273.88466,99
19273.88466,100
19273.88467,99
19273.88467,98
19273.88467,99
19273.88467,100
19273.88468,99
19273.88468,100
19273.88468,99
19273.88469,98
19273.88469,99
19273.88469,98
19273.88469,99
19273.88469,100
19273.8847,99
19273.8847,98
19273.8847,99
19273.8847,98
19273.8847,99
19273.88471,98
19273.88471,97
19273.88471,98
19273.88471,97
19273.88471,98
19273.88471,99
19273.88471,100
19273.88472,99
19273.88472,100
19273.88472,99
19273.88472,100
19273.88473,99
19273.88473,100
19273.88474,99
19273.88474,100
19273.88474,99
19273.88475,98
19273.88475,99
19273.88475,100
19273.88476,99
19273.88476,100
19273.88476,99
19273.88476,100
19273.88477,99
19273.88477,98
19273.88478,99
19273.88478,100
19273.88479,99
19273.8848,100
19273.8848,99
19273.8848,100
19273.88481,99
19273.88481,100
19273.88482,99
19273.88482,100
19273.88485,99
19273.88485,100
19273.88486,99
19273.88487,100
19273.88488,99
19273.88488,100
19273.88489,99
19273.88489,100
19273.8849,99
19273.8849,100
19273.88491,99
19273.88491,98
19273.88491,99
19273.88491,100
19273.88491,99
19273.88492,100
19273.88492,99
19273.88493,98
19273.88493,99
19273.88493,100
19273.88494,99
19273.88494,100
19273.88495,99
19273.88495,98
19273.88496,99
19273.88496,100
19273.88497,99
19273.88497,100
19273.88498,99
19273.88498,100
19273.88498,99
19273.88498,100
19273.88499,99
19273.88499,100
19273.88501,99
19273.88501,100
19273.88501,99
19273.88501,100
19273.88502,99
19273.88502,100
19273.88503,99
19273.88504,98
19273.88504,99
19273.88504,100
19273.88504,99
19273.88504,98
19273.88504,97
19273.88505,98
19273.88505,99
19273.88506,100
19273.88507,99
19273.88507,98
19273.88509,99
