Time,Num c bots
19277.84517439053,1
19277.84517440302,2
19277.845174413647,3
19277.845174413647,4
19277.845403894342,3
19277.845417751283,2
19277.845432518057,1
19277.845454193925,0
Time,Num h bots
19277.845174309747,1
19277.845174321294,2
19277.845174321294,3
19277.845174332822,4
19277.845174344377,5
19277.845174357568,6
19277.845174357568,7
19277.84517436744,8
19277.845174378992,9
19277.84517439053,10
19277.845190192395,9
19277.845210395313,8
19277.845245912653,7
19277.845274589235,8
19277.84528177588,9
19277.845587562628,8
19277.84563124675,9
19277.84564675374,10
19277.84566330375,11
19277.845679147908,12
19277.8457736883,13
19277.845807415822,14
19277.845857588763,13
19277.845880230198,12
19277.84588663149,13
19277.845894799804,12
19277.845949073067,13
19277.845955439454,12
19277.846003361457,11
19277.84602230008,12
19277.84602831021,11
19277.84607623653,12
19277.846089902487,13
19277.846107319467,14
19277.846141555106,13
19277.846152024256,12
19277.84617381501,11
19277.84617908398,12
19277.846190596167,13
19277.84620130449,14
19277.846283952822,13
19277.84628420638,14
19277.8463124131,13
19277.846317254145,12
19277.846331572233,13
19277.84634979339,12
19277.846394289492,11
19277.846424763473,10
19277.846439810233,9
19277.846519182127,8
19277.846531331066,9
19277.84658875,10
19277.846590391262,11
19277.84665193006,12
19277.84669153779,13
19277.846794059456,12
19277.84688523815,13
19277.84689239434,14
19277.84693728802,15
19277.846967753863,14
19277.84696822897,15
19277.846974965396,14
19277.84699891676,15
19277.84701921949,16
19277.847040052788,17
19277.84712430229,18
19277.847128092173,19
19277.84713122367,18
19277.847141937455,19
19277.84714524156,20
19277.847171976286,21
19277.847190610995,20
19277.847270836468,21
19277.84729000669,22
19277.84729436624,23
19277.847316361607,24
19277.84731781881,25
19277.847325146387,26
19277.847327852927,25
19277.847362185326,26
19277.84736531905,25
19277.847367958428,26
19277.847390574745,25
19277.847404828357,26
19277.847426493034,25
19277.847431295253,24
19277.84748758822,25
19277.847513664005,24
19277.847521217256,25
19277.84753822633,24
19277.84754632094,23
19277.847573535266,22
19277.84758660527,21
19277.847587081043,22
19277.847596410462,21
19277.8476085631,22
19277.84761497858,23
19277.847621943427,22
19277.84764448816,21
19277.84764880691,20
19277.847685418543,21
19277.847689258764,22
19277.84769397892,21
19277.847712824456,20
19277.847736134758,21
19277.84776417442,22
19277.8477784356,21
19277.847781107223,20
19277.847800441516,21
19277.84781759927,20
19277.84783450595,19
19277.847858374524,20
19277.84786092243,19
19277.847867344837,18
19277.84787785479,17
19277.847878798264,16
19277.847879943172,17
19277.847880667337,18
19277.847952197048,19
19277.84796690677,20
19277.84799645781,19
19277.84803650162,20
19277.848047267256,21
19277.84808637611,20
19277.84810821492,19
19277.84812513471,20
19277.848140055627,19
19277.848168794062,20
19277.848174244213,21
19277.848187104824,22
19277.848203981146,23
19277.848215891587,22
19277.848220570693,23
19277.848225644157,24
19277.84823926861,25
19277.848240537016,24
19277.848265275683,25
19277.848270245082,24
19277.84828478927,23
19277.84828953228,22
19277.848343185822,23
19277.848361189932,24
19277.848436079214,25
19277.84844819434,26
19277.848456247153,25
19277.848492103913,24
19277.84850852698,25
19277.848590603633,24
19277.848591017868,23
19277.848604029998,22
19277.848608575823,21
19277.848609060926,20
19277.848611918598,19
19277.848616534247,18
19277.848638539526,17
19277.848648250023,16
19277.848686482153,15
19277.84873388742,16
19277.848777478936,17
19277.848788516145,18
19277.84887357515,19
19277.848876157837,20
19277.848916504492,19
Time,Num food
19277.845174680268,1
19277.845180389584,2
19277.845181846806,3
19277.845183279594,4
19277.84518446764,5
19277.845185885704,6
19277.8451925689,7
19277.84519281113,8
19277.84519875375,9
19277.845199923,10
19277.845200861968,11
19277.845202517998,12
19277.845202759017,13
19277.84520371755,14
19277.845207034712,15
19277.84520800235,16
19277.845213025754,15
19277.845217228034,16
19277.84522250824,15
19277.845222981527,16
19277.845224186574,17
19277.84522652419,18
19277.84522797104,19
19277.845230632254,20
19277.845233966505,21
19277.845235167268,22
19277.845236349676,23
19277.845236837034,24
19277.8452380386,25
19277.845238513346,26
19277.84524232581,27
19277.84524256735,28
19277.845243282143,29
19277.8452440114,30
19277.84524449705,31
19277.845247103764,32
19277.845254566077,31
19277.84525574404,32
19277.845258597838,33
19277.845259796584,34
19277.845261463066,35
19277.845262866296,36
19277.84526360735,35
19277.8452697875,34
19277.845273154675,35
19277.8452760098,36
19277.84527624065,37
19277.845277447443,38
19277.84527745808,37
19277.845279856458,38
19277.845281070902,37
19277.84528342389,38
19277.84528603455,39
19277.84528628897,38
19277.845290771413,39
19277.845291498554,38
19277.84529197428,39
19277.845293418104,38
19277.84529462507,39
19277.84529634683,38
19277.845305025625,39
19277.845305493414,40
19277.84530620859,41
19277.845306451203,40
19277.845307386367,39
19277.845309308297,38
19277.845312840716,39
19277.845314530183,40
19277.845315003993,39
19277.845315696664,40
19277.845323749745,41
19277.845324472975,42
19277.845325188657,43
19277.84532779457,44
19277.845328036954,45
19277.845328267453,46
19277.845329451888,47
19277.8453301795,48
19277.845333072768,47
19277.84533308426,46
19277.84533469581,47
19277.845337796563,46
19277.84533848935,47
19277.845339208357,48
19277.84533945272,49
19277.845344255,48
19277.845344483867,49
19277.845345212154,48
19277.845346680035,47
19277.84534716235,46
19277.845348086586,45
19277.845350955453,46
19277.84535119639,47
19277.84535212178,48
19277.845352598008,49
19277.84535308257,50
19277.84535331654,51
19277.845353788958,52
19277.845358074643,53
19277.845359507744,54
19277.845359992836,55
19277.845360461364,56
19277.8453604731,55
19277.845370008265,56
19277.84537142058,57
19277.84537214774,58
19277.84537262102,59
19277.84537359279,58
19277.84537834749,57
19277.845383813394,58
19277.84538455347,57
19277.84538477285,58
19277.8453859661,59
19277.84538930389,60
19277.845390505267,61
19277.845390991504,62
19277.845391000497,61
19277.845391231655,62
19277.84539147618,63
19277.845393809468,64
19277.84539452168,65
19277.845396697743,66
19277.84539718264,67
19277.845399118876,66
19277.84539957141,67
19277.84540101971,66
19277.84540437383,67
19277.845409114212,68
19277.84541008375,67
19277.84541510633,68
19277.84541751196,67
19277.84541774281,68
19277.845419911726,67
19277.8454212922,68
19277.845427043903,67
19277.845429397486,68
19277.845430123412,69
19277.845433490696,70
19277.845434206367,71
19277.845437308173,72
19277.84544251565,73
19277.84544347735,74
19277.845447041796,73
19277.84544776478,74
19277.845448713855,75
19277.845452981634,76
19277.845455132672,77
19277.84545633565,78
19277.845459216434,79
19277.845460157325,80
19277.84546205772,79
19277.845464449445,80
19277.845465884304,79
19277.84546780832,80
19277.84546927035,81
19277.845472123034,82
19277.84547737588,81
19277.84547783265,80
19277.845479508855,81
19277.84547999079,82
19277.845481174987,83
19277.845482377743,84
19277.84548453332,85
19277.84548476442,84
19277.845487401653,85
19277.845490712338,86
19277.84549261985,85
19277.845494276033,84
19277.845495479585,83
19277.845497111528,84
19277.845498586958,83
19277.845499301508,84
19277.84550164603,85
19277.84550333786,84
19277.845503545635,85
19277.845506870566,86
19277.845510515173,85
19277.84551071448,86
19277.845511439606,87
19277.845511670454,88
19277.84551332713,87
19277.84551383617,86
19277.845515507976,85
19277.84551574993,84
19277.84551674383,83
19277.845518185986,82
19277.845518429815,81
19277.84551937044,82
19277.845519852384,83
19277.84552054471,84
19277.845521021503,85
19277.845522197476,86
19277.84552483191,87
19277.84552701778,88
19277.84552772494,89
19277.845529416067,90
19277.845532305764,89
19277.845532999607,90
19277.845534680473,91
19277.845535397893,92
19277.84553540869,91
19277.845536119803,90
19277.845536577326,91
19277.845539967908,90
19277.845540177557,91
19277.845540883936,92
19277.845543997697,93
19277.845544269676,92
19277.84554883507,91
19277.845549298636,90
19277.84555048015,91
19277.845550960625,92
19277.84555286229,93
19277.845552884446,92
19277.845555756052,91
19277.8455562078,92
19277.8455562078,91
19277.84555716906,90
19277.845557630786,89
19277.845558788475,90
19277.84555881875,89
19277.845559018737,90
19277.845559260626,91
19277.84555997279,92
19277.84556237691,93
19277.845564749874,92
19277.845565670465,93
19277.845567124445,94
19277.84556834021,95
19277.845569327153,94
19277.845570781716,93
19277.845571001493,94
19277.845571251135,95
19277.84557197426,96
19277.84557441294,95
19277.84557464184,94
19277.845575103183,95
19277.845576789678,94
19277.84557845354,93
19277.84557963336,94
19277.845580340763,95
19277.845582273938,94
19277.84558369868,93
19277.845585830426,94
19277.845588988625,93
19277.845589473473,94
19277.845591143716,95
19277.845591374735,94
19277.845596695,93
19277.845596707255,92
19277.845599992732,93
19277.845602351852,92
19277.845607378782,91
19277.84560759861,92
19277.845610473854,93
19277.845610944616,94
19277.84561166596,93
19277.845611903183,94
19277.84561712676,95
19277.845617612416,96
19277.845618816747,97
19277.84562077147,96
19277.84562168897,97
19277.845621711946,96
19277.845624048612,97
19277.84562428991,98
19277.845624555914,97
19277.845625505463,98
19277.84562671962,99
19277.84562696205,100
19277.845628430034,99
19277.845630288382,100
19277.845633407396,99
19277.84563505274,100
19277.845639379666,99
19277.845639830717,100
19277.845640328727,99
19277.845641732998,100
19277.84564391685,99
19277.84564678888,98
19277.84564799031,97
19277.845648674633,98
19277.845651317315,99
19277.845652760912,100
19277.84565420609,99
19277.845655165984,98
19277.84565560926,99
19277.84565589508,98
19277.84565989984,99
19277.84566157057,100
19277.845662101943,99
19277.84566233434,98
19277.845666164943,97
19277.845667170775,96
19277.845667852187,97
19277.845668075577,98
19277.84566928073,99
