Time,Num c bots
19277.888155955414,1
19277.888155966968,2
19277.888155966968,3
19277.888155978486,4
Time,Num h bots
19277.88815588692,1
19277.88815589771,2
19277.88815589771,3
19277.88815591022,4
19277.888155920788,5
19277.888155920788,6
19277.888155932327,7
19277.888155932327,8
19277.888155943878,9
19277.888155955414,10
19277.888240557742,9
19277.888241257697,10
Time,Num food
19277.888156002096,1
19277.88815697219,2
19277.88816008641,3
19277.88816056391,4
19277.88816297066,5
19277.888170372513,6
19277.88817107773,7
19277.8881722475,8
19277.888178430567,9
19277.888178909918,10
19277.888181321563,9
19277.888181795905,10
19277.8881825267,9
19277.888185407337,10
19277.888186107048,11
19277.88818682509,12
19277.888193327337,13
19277.888194540395,14
19277.888196207452,15
19277.888196694905,16
19277.888199062498,17
19277.888199791225,16
19277.88820386912,17
19277.88820604324,18
19277.888206730415,19
19277.888206741954,18
19277.888206973195,19
19277.88820721521,20
19277.888207932698,19
19277.888216797062,18
19277.888218012384,17
19277.888218243752,18
19277.888218947453,19
19277.888220639827,20
19277.888222565696,21
19277.888224243427,22
19277.888224254468,21
19277.88822448535,22
19277.888225456216,23
19277.88822594212,24
19277.888227156043,23
19277.888228339572,24
19277.888230731227,25
19277.888234309015,26
19277.888236215902,27
19277.888236449213,28
19277.888236927014,29
19277.88823932259,30
19277.88824290734,31
19277.888244877326,30
19277.888247507894,31
19277.888247980267,32
Time,Num poison
19277.888226658888,1
Time,Avg attr food c
19277.888155955414,0.0196128866
19277.888155966968,0.01952904255
19277.888155978486,0.019750723833333334
19277.888155978486,0.019874240475000002
Time,Avg attr food h
19277.88815588692,0.0205667041
19277.88815589771,0.020433525850000002
19277.88815591022,0.020127669266666665
19277.88815591022,0.019951527375
19277.888155920788,0.02008093188
19277.888155920788,0.020008234183333334
19277.888155932327,0.019974665157142857
19277.888155943878,0.0198971005375
19277.888155943878,0.019814150588888888
19277.888155955414,0.01989041916
19277.888240557742,0.01981527638888889
19277.888241269204,0.01969844771
Time,Avg attr poison h
19277.88815588692,-0.0007697151
19277.88815589771,-0.0009110095499999999
19277.88815591022,-0.00035798973333333326
19277.88815591022,-0.0005595357249999999
19277.888155920788,-0.00051459226
19277.888155920788,-0.00044773128333333334
19277.888155932327,-0.0005086999
19277.888155943878,-0.0005015199625
19277.888155943878,-0.0005001203
19277.888155955414,-0.00046437878000000013
19277.888240557742,-0.00043045252222222234
19277.888241269204,-0.0004325333100000001
Time,Avg perception food c
19277.888155955414,84.4928354494
19277.888155966968,96.24217857720001
19277.888155978486,98.03681178933334
19277.888155978486,98.8194008403
Time,Avg perception food h
19277.88815588692,76.9233148612
19277.88815589771,75.30984960465
19277.88815591022,81.11663938163333
19277.88815591022,92.771128516925
19277.888155920788,96.8809813064
19277.888155932327,95.37927931875
19277.888155932327,99.0499463151
19277.888155943878,101.9355854733375
19277.888155943878,98.62900988752222
19277.888155955414,97.18573942027999
19277.888240569293,99.43711992684445
19277.888241269204,101.70691389225999
Time,Avg perception poison h
19277.88815589771,75.1591049005
19277.88815589771,87.8503898189
19277.88815591022,98.74447989223334
19277.88815591022,103.912857152475
19277.888155920788,103.64289313008001
19277.888155932327,102.01813629795
19277.888155932327,98.32343659177143
19277.888155943878,95.5363286170125
19277.888155943878,94.40217783381111
19277.888155955414,95.91509929264001
19277.888240569293,98.22132089176667
19277.888241269204,94.09548414358001
Time,Avg repr rate c
19277.888155966968,0.0002469383
19277.888155966968,0.0002480095
19277.888155978486,0.0002508061
19277.888155978486,0.000249256925
Time,Avg repr rate h
19277.88815589771,0.0002419525
19277.88815589771,0.00024530435
19277.88815591022,0.00024375953333333333
19277.88815591022,0.00024639590000000004
19277.888155920788,0.00024739364000000004
19277.888155932327,0.0002470782833333334
19277.888155932327,0.0002460677714285715
19277.888155943878,0.00024779843750000007
19277.888155943878,0.0002471519444444445
19277.888155955414,0.0002466469700000001
19277.888240569293,0.0002471685777777779
19277.888241269204,0.0002484430300000001
Time,Avg mutation rate c
19277.888155966968,0.1438927133
19277.888155966968,0.1461380984
19277.888155978486,0.1505479418
19277.888155978486,0.15075113755000003
Time,Avg mutation rate h
19277.88815589771,0.1444508442
19277.88815589771,0.1444453558
19277.88815591022,0.14686234566666667
19277.88815591022,0.146714548075
19277.888155920788,0.1484810035
19277.888155932327,0.1473822574333333
19277.888155932327,0.1473970350428571
19277.888155943878,0.14665840536249997
19277.888155943878,0.14783152959999998
19277.888155955414,0.1483898487
19277.888240569293,0.14882751586666665
19277.888241269204,0.14809356404
Time,Avg velocity c
19277.888155966968,0.9910002949
19277.888155966968,0.9928134945
19277.888155978486,0.9978831669666667
19277.888155978486,0.9989584251500001
Time,Avg velocity h
19277.88815589771,0.7934738795
19277.88815589771,0.7983793883
19277.88815591022,0.7992705802666666
19277.88815591022,0.799054666875
19277.888155920788,0.79925635994
19277.888155932327,0.8000793378500001
19277.888155932327,0.7994558337285714
19277.888155943878,0.7994165117875
19277.888155943878,0.8003767399
19277.888155955414,0.80043818103
19277.888240569293,0.8012119923111111
19277.888241269204,0.8010049189
Time,Avg health c
19277.888155966968,102.9864282048
19277.888155966968,99.09443261475
19277.888155978486,99.4179675392
19277.888155978486,98.61730297422501
Time,Avg health h
19277.88815589771,97.3331230595
19277.88815589771,97.6650520062
19277.88815591022,97.17150147586666
19277.88815591022,98.900736953025
19277.888155920788,99.88057595732
19277.888155932327,100.14213298131666
19277.888155932327,100.16837689747142
19277.888155943878,100.54730016287499
19277.888155943878,100.77256654844444
19277.888155955414,100.9263450288
19277.888240569293,101.3255919142778
